               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095286,            0.034594,                   0,             0.23918,             0.28732,              0.1637,            0.045656,            0.076507,             0.03459,                   0,           0.0032593,           0.0032593,            0.070667
                   1,            0.067756,            0.026672,                   0,             0.46521,             0.45038,             0.42288,             0.17755,            0.062488,            0.020136,                   0,             0.00656,             0.00656,            0.040634
                   2,            0.060568,            0.025468,                   0,              0.5824,             0.46733,             0.48486,             0.22313,            0.055892,            0.027113,                   0,           0.0098277,           0.0098277,            0.010568
                   3,            0.056703,            0.026823,                   0,             0.54684,             0.44482,             0.45311,             0.22202,            0.053451,            0.031844,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.054066,            0.028046,                   0,             0.56911,             0.46719,             0.47164,             0.24063,            0.051555,            0.038464,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.052092,            0.026685,                   0,              0.5241,             0.48482,              0.4566,              0.2424,            0.049587,            0.032096,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.050995,            0.026281,                   0,              0.6277,             0.52942,             0.56168,              0.3002,            0.048117,            0.023066,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.049417,            0.025288,                   0,             0.59493,             0.50862,             0.53616,              0.2934,            0.046723,            0.022309,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.049416,            0.025261,                   0,             0.65925,             0.54921,             0.59422,             0.31776,            0.048182,            0.021678,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,             0.04891,            0.025454,                   0,             0.64562,              0.5303,              0.5813,             0.31783,             0.04614,            0.021434,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.047996,            0.024645,                   0,             0.65152,             0.55963,             0.60669,             0.33513,              0.0446,            0.020326,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.047124,            0.024431,                   0,             0.66873,             0.54504,             0.61115,             0.35307,            0.044003,            0.020768,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.047423,            0.024516,                   0,             0.66425,             0.55324,             0.61212,             0.35478,            0.043652,            0.019917,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.046674,            0.023753,                   0,             0.68804,             0.61079,             0.65683,             0.36652,            0.042517,            0.019638,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.046481,             0.02408,                   0,             0.69129,             0.59605,             0.65261,             0.37575,            0.042257,            0.019213,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.045265,            0.023425,                   0,             0.70259,             0.56088,             0.63438,             0.35425,            0.043935,            0.019224,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.045687,            0.023029,                   0,             0.70623,             0.60018,             0.67041,             0.37873,            0.041795,            0.018376,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.045322,            0.023133,                   0,             0.73685,             0.61732,             0.69685,             0.40191,            0.041584,            0.017601,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.044605,            0.022237,                   0,               0.701,             0.62413,             0.68437,             0.39392,            0.041732,            0.018788,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.044283,            0.022929,                   0,             0.74377,             0.61496,             0.70502,             0.42219,             0.04008,             0.01733,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.044138,            0.022649,                   0,             0.74359,             0.62747,             0.70751,             0.41922,            0.040491,            0.017233,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.043907,            0.022621,                   0,             0.72423,             0.64139,             0.70619,             0.43118,            0.039439,            0.017446,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.044031,            0.021984,                   0,             0.74686,             0.63247,             0.72145,             0.43708,            0.039179,            0.016846,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.042907,            0.022102,                   0,             0.75088,             0.63692,             0.72833,             0.43012,            0.039517,            0.016727,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.043602,            0.021725,                   0,             0.75227,             0.66611,             0.74213,             0.45385,            0.038236,             0.01601,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.043549,            0.022256,                   0,             0.74711,             0.63859,             0.71913,             0.43258,            0.039312,            0.016738,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.042961,             0.02136,                   0,             0.77286,             0.66028,             0.75189,             0.45756,            0.038359,            0.016036,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.042719,            0.021403,                   0,             0.74718,             0.67848,             0.74986,             0.46261,            0.037846,            0.016256,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.042451,            0.021523,                   0,             0.75581,             0.66172,             0.73962,             0.44842,            0.038644,            0.016521,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.041496,            0.020739,                   0,             0.80075,             0.65976,             0.76679,             0.46934,            0.037879,            0.015702,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.041478,            0.021474,                   0,             0.80507,             0.68029,             0.77403,             0.47752,            0.037282,            0.015358,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.041592,            0.020859,                   0,             0.79215,              0.6924,             0.77465,             0.48084,            0.036996,            0.015353,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.040384,            0.020777,                   0,             0.80244,             0.69377,               0.788,             0.49257,            0.036273,            0.015141,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.040636,            0.020387,                   0,             0.80101,             0.67765,             0.77496,             0.48568,             0.03689,            0.015495,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.040401,            0.020418,                   0,             0.78404,             0.70378,              0.7826,             0.48591,            0.036703,            0.015183,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.040418,            0.020251,                   0,             0.82128,             0.70012,             0.80248,             0.50684,            0.035836,            0.014371,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.040979,            0.020056,                   0,             0.78458,             0.69563,             0.77584,             0.48452,            0.036547,            0.015344,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.040406,              0.0202,                   0,             0.81655,             0.71028,             0.80592,             0.50135,            0.035935,            0.014823,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.040198,            0.020652,                   0,             0.81576,             0.73506,             0.81625,             0.51819,            0.035192,            0.014192,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.039946,            0.020247,                   0,             0.81932,             0.71354,              0.8021,             0.50837,            0.035314,            0.014357,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.039923,            0.019697,                   0,             0.82929,             0.71577,             0.81477,             0.51816,            0.035105,            0.014063,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.039957,            0.019684,                   0,             0.83107,              0.7249,             0.82057,             0.52012,            0.035317,            0.014319,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.039812,            0.019871,                   0,             0.82417,             0.74927,             0.83013,             0.52857,            0.034721,            0.013742,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.039808,            0.019427,                   0,             0.81526,             0.72138,             0.81232,             0.52277,            0.034857,            0.014122,                   0,            0.007921,            0.007921,            0.007921
                  44,             0.03883,            0.019107,                   0,             0.81442,             0.71924,              0.8122,             0.51725,            0.034722,            0.014725,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.038251,            0.018972,                   0,             0.84073,             0.72791,             0.82526,              0.5232,            0.034501,            0.013903,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.038932,            0.018804,                   0,             0.83762,             0.73909,             0.83545,             0.53794,            0.034181,            0.013466,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,             0.03902,            0.019591,                   0,             0.84296,             0.74103,             0.83595,             0.52716,            0.034574,            0.013712,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.038642,            0.018774,                   0,             0.85845,             0.75855,             0.85189,             0.55503,            0.033401,            0.013027,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,             0.03828,            0.017984,                   0,              0.8431,             0.74248,             0.84445,             0.55062,             0.03358,            0.013087,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.038397,            0.018683,                   0,              0.8515,             0.74682,             0.84104,             0.54288,            0.033702,            0.013516,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.038325,            0.018284,                   0,             0.85544,             0.75262,             0.84973,             0.55698,            0.033146,            0.013037,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.038373,            0.018839,                   0,             0.85364,             0.75132,             0.84606,             0.55118,            0.033175,            0.013132,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.038383,            0.018466,                   0,             0.85441,             0.74924,             0.84399,             0.54942,            0.033157,            0.013086,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.038388,            0.019106,                   0,              0.8591,             0.75092,             0.85291,             0.55564,            0.033217,            0.013069,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.037764,            0.018845,                   0,             0.84896,             0.74729,             0.84363,              0.5595,            0.032891,            0.013362,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.037402,            0.018203,                   0,             0.86145,             0.76606,             0.86104,             0.57329,            0.032517,            0.012513,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.037642,            0.018241,                   0,             0.86677,             0.75354,              0.8532,             0.56409,            0.032739,            0.012807,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.037402,            0.017958,                   0,             0.85794,             0.75605,             0.85623,             0.56036,              0.0329,            0.012903,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.037371,            0.018062,                   0,             0.86796,             0.76758,             0.86334,             0.57476,            0.032259,            0.012555,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.037779,            0.017761,                   0,             0.85537,             0.75215,             0.85182,             0.56127,             0.03261,            0.012761,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.037175,            0.017936,                   0,             0.87242,             0.76825,             0.86838,             0.57623,            0.032103,             0.01234,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.036932,            0.017454,                   0,             0.87299,             0.77677,             0.87475,             0.58421,            0.031838,            0.012108,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.036809,            0.017438,                   0,             0.87367,             0.77648,             0.87167,             0.58412,            0.031905,            0.012234,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.036979,            0.017767,                   0,             0.87531,             0.76993,             0.86765,             0.58305,            0.031915,            0.012043,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.036688,            0.018017,                   0,             0.87242,             0.78612,              0.8723,             0.58645,            0.031421,            0.012194,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.037012,            0.017966,                   0,              0.8713,             0.77169,             0.86892,             0.58635,            0.031485,            0.012295,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.036552,            0.017173,                   0,             0.87483,             0.77172,              0.8684,             0.58373,            0.031806,            0.012325,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.036047,            0.017354,                   0,              0.8831,             0.77285,             0.87271,             0.58872,            0.031567,            0.012116,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.036688,            0.017239,                   0,             0.88678,             0.79371,              0.8814,             0.59459,             0.03101,             0.01191,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.037504,            0.017318,                   0,             0.89181,              0.7844,             0.88238,             0.59215,             0.03146,            0.011864,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.036339,            0.017543,                   0,             0.88859,              0.8027,             0.88549,             0.60494,            0.030588,            0.011631,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.036014,            0.017327,                   0,             0.89018,             0.78496,             0.88504,             0.59809,            0.030937,            0.011699,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.035152,            0.016616,                   0,             0.88226,             0.80025,             0.88664,             0.60677,            0.030673,            0.011641,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.035549,              0.0167,                   0,             0.88901,             0.78969,             0.88645,             0.59349,            0.031186,            0.011673,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.035953,            0.017188,                   0,             0.88827,             0.81333,             0.89517,             0.60923,            0.030502,            0.011387,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.035678,            0.016695,                   0,             0.90566,             0.79803,             0.89535,             0.61699,            0.030131,            0.011221,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.035503,            0.017223,                   0,              0.8928,              0.7983,             0.89033,             0.60669,            0.030508,            0.011556,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.035464,            0.017104,                   0,             0.89816,             0.80845,             0.89309,             0.61871,            0.030089,            0.011313,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.035196,            0.016457,                   0,             0.89777,             0.81425,             0.90046,             0.61886,            0.030041,             0.01106,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.035421,            0.017152,                   0,             0.89672,             0.81832,             0.89873,              0.6241,            0.029797,            0.011142,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.034917,            0.016845,                   0,             0.90591,             0.80678,             0.89671,             0.61574,            0.030008,            0.011212,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.034274,            0.016966,                   0,             0.91696,             0.81081,             0.90193,             0.62936,            0.029632,            0.011054,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.034722,            0.016545,                   0,             0.90073,             0.81983,             0.90421,             0.63087,            0.029422,            0.010752,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.034789,            0.016081,                   0,             0.90368,             0.80873,             0.89904,             0.62094,            0.029924,            0.011107,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.034559,              0.0156,                   0,              0.9045,             0.82247,             0.90564,             0.62468,             0.02947,            0.010879,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.034108,            0.016348,                   0,             0.90412,               0.814,             0.90294,              0.6269,            0.029399,            0.010955,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.034837,            0.016031,                   0,             0.90925,             0.82588,             0.91146,             0.63571,            0.029155,            0.010575,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.034701,            0.016707,                   0,             0.90781,             0.82267,             0.90689,             0.63388,            0.029035,            0.010822,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.034695,            0.016217,                   0,             0.91486,             0.82513,             0.90998,             0.63684,            0.028839,            0.010573,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.034948,            0.016499,                   0,              0.9073,             0.82582,             0.90771,             0.63683,            0.028965,            0.010793,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.034817,            0.016781,                   0,              0.9203,             0.82501,             0.91378,             0.63851,            0.028907,              0.0105,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.033936,            0.015722,                   0,             0.91836,             0.82722,             0.91217,             0.63916,            0.028812,            0.010652,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.033922,            0.015875,                   0,             0.90662,             0.82596,             0.91119,             0.64444,            0.028671,            0.010451,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.033906,            0.015599,                   0,             0.92453,             0.82861,             0.91625,             0.64476,            0.028676,            0.010305,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.033355,            0.015436,                   0,             0.91767,             0.83528,             0.91832,             0.64928,            0.028507,            0.010373,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.033452,            0.015335,                   0,             0.92779,             0.83045,             0.91898,             0.65222,            0.028268,            0.010226,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.034312,            0.015649,                   0,              0.9207,             0.83973,             0.91893,             0.65221,            0.028064,            0.010189,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.033468,            0.015757,                   0,             0.92543,             0.83778,             0.92105,              0.6576,            0.028065,            0.010138,                   0,           0.0051985,           0.0051985,           0.0051985
